Título,Descripción,Categoría,Latitud,Longitud,Fecha del hecho
"Propagación de enfermedad infecciosa deja múltiples daños en La Toma, San Luis","Autoridades confirmaron un propagación de enfermedad infecciosa en La Toma, San Luis. El incidente destruyendo viviendas y dejando a familias evacuadas. Se ha iniciado una investigación para determinar las causas exactas del incidente.",Desastre Tecnológico - Evento sanitario,-33.022441,-65.659463,07/08/2013
Consecuencias graves tras Emergencia de salud pública en Realicó,"Autoridades confirmaron un emergencia de salud pública en Realicó, La Pampa. El incidente obligando a evacuar a residentes de la zona. El municipio ha activado el protocolo de emergencias para esta situación.",Desastre Tecnológico - Evento sanitario,-35.007519,-64.274767,24/07/2008
Impacto de Brote de enfermedad contagiosa en comunidad de Cañada de Gómez,"Un grave brote de enfermedad contagiosa se registró en Cañada de Gómez, Santa Fe. El incidente generando serios daños ambientales en la región. Bomberos y personal de seguridad trabajan intensamente en la zona.",Desastre Tecnológico - Evento sanitario,-32.842521,-61.371787,03/08/2000
"Brote epidémico afecta a Cafayate, Salta","Autoridades confirmaron un brote epidémico en Cafayate, Salta. El incidente provocando cortes de energía y problemas en el suministro de agua. Los servicios médicos están atendiendo a los afectados en hospitales locales.",Desastre Tecnológico - Evento sanitario,-26.11487,-65.964683,20/02/2001
"Alerta por Casos agrupados de enfermedad en Embarcación, Salta","Un grave casos agrupados de enfermedad se registró en Embarcación, Salta. El incidente causando daños en cultivos y producción agrícola. Técnicos trabajan para restablecer los servicios básicos lo antes posible.",Desastre Tecnológico - Evento sanitario,-23.195504,-64.12751,04/04/2011
Preocupación por Derrame en curso de agua en Recoleta,"Un grave derrame en curso de agua se registró en Recoleta, CABA. El incidente generando serios daños ambientales en la región. El intendente local se ha trasladado al lugar para supervisar las operaciones.",Desastre Tecnológico - Derrame,-34.567517,-58.43658,30/05/2016
"Preocupación por Crisis ambiental por contaminantes en Caleta Olivia, Santa Cruz","Un grave crisis ambiental por contaminantes se registró en Caleta Olivia, Santa Cruz. El incidente dejando varios heridos y daños materiales. La población ha sido alertada para tomar precauciones adicionales.",Desastre Tecnológico - Contaminación,-46.467838,-67.560541,05/11/2012
Serio incidente: Emergencia de salud pública en Necochea,"Grave emergencia de salud pública ocurrió en las inmediaciones de Necochea, Buenos Aires. El incidente provocando cortes de energía y problemas en el suministro de agua. La población ha sido alertada para tomar precauciones adicionales.",Desastre Tecnológico - Evento sanitario,-38.603633,-58.786062,30/04/2000
Evacuaciones por Propagación de enfermedad infecciosa en Chos Malal,"Un grave propagación de enfermedad infecciosa se registró en Chos Malal, Neuquén. El incidente causando pérdidas millonarias y afectando a cientos de personas. Técnicos trabajan para restablecer los servicios básicos lo antes posible.",Desastre Tecnológico - Evento sanitario,-37.369646,-70.230916,14/07/2009
"Habitantes de Córdoba afrontan Emisión de sustancias tóxicas, Córdoba","Grave emisión de sustancias tóxicas ocurrió en las inmediaciones de Córdoba, Córdoba. El incidente provocando la activación de protocolos de emergencia. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Desastre Tecnológico - Contaminación,-31.434645,-64.227109,11/03/2001
"Serio incidente: Intoxicación colectiva en Avellaneda, Buenos Aires","Un grave intoxicación colectiva se registró en Avellaneda, Buenos Aires. El incidente dejando a la población incomunicada por varias horas. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.",Desastre Tecnológico - Intoxicación masiva,-34.623178,-58.383161,16/05/2006
Barranqueras en alerta por Emergencia de salud pública,"Un grave emergencia de salud pública se registró en Barranqueras, Chaco. El incidente provocando pánico entre los residentes locales. Especialistas evalúan los daños para iniciar las reparaciones necesarias.",Desastre Tecnológico - Evento sanitario,-27.489449,-58.967169,06/12/2015
Propagación de enfermedad infecciosa genera crisis en Aristóbulo del Valle,"Un grave propagación de enfermedad infecciosa se registró en Aristóbulo del Valle, Misiones. El incidente afectando el normal desarrollo de actividades en la zona. Técnicos trabajan para restablecer los servicios básicos lo antes posible.",Desastre Tecnológico - Evento sanitario,-27.11797,-54.868267,20/08/2009
Crisis ambiental por contaminantes causa estragos en Chascomús,"Autoridades confirmaron un crisis ambiental por contaminantes en Chascomús, Buenos Aires. El incidente generando caos en el transporte público y privado. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.",Desastre Tecnológico - Contaminación,-35.604239,-57.979217,25/04/2014
"Preocupación por Contaminación ambiental severa en Fernández, Santiago del Estero","Un grave contaminación ambiental severa se registró en Fernández, Santiago del Estero. El incidente provocando pánico entre los residentes locales. El intendente local se ha trasladado al lugar para supervisar las operaciones.",Desastre Tecnológico - Contaminación,-27.930508,-63.937741,04/05/2000
"Intoxicación alimentaria masiva provoca emergencia en Realicó, La Pampa","Grave intoxicación alimentaria masiva ocurrió en las inmediaciones de Realicó, La Pampa. El incidente dejando a la población incomunicada por varias horas. Equipos de rescate continúan buscando posibles víctimas.",Desastre Tecnológico - Intoxicación masiva,-35.031432,-64.282051,13/11/2003
"Evacuaciones por Crisis ambiental por contaminantes en Plottier, Neuquén","Grave crisis ambiental por contaminantes ocurrió en las inmediaciones de Plottier, Neuquén. El incidente causando pérdidas millonarias y afectando a cientos de personas. La población ha sido alertada para tomar precauciones adicionales.",Desastre Tecnológico - Contaminación,-38.983336,-68.221106,03/01/2002
"Gualeguay afectado por Contaminación en río, Entre Ríos","Un grave contaminación en río se registró en Gualeguay, Entre Ríos. El incidente obligando a evacuar a residentes de la zona. Se ha declarado estado de emergencia en la región para facilitar la asistencia.",Desastre Tecnológico - Contaminación,-33.184719,-59.341691,08/10/2020
"Evacuaciones por Crisis ambiental por contaminantes en El Bolsón, Río Negro","Grave crisis ambiental por contaminantes ocurrió en las inmediaciones de El Bolsón, Río Negro. El incidente dejando a varios sectores sin comunicación. Equipos de rescate continúan buscando posibles víctimas.",Desastre Tecnológico - Contaminación,-41.936838,-71.58046,16/06/2018
Confirman Vertido contaminante de gran magnitud en Comodoro Rivadavia,"Grave vertido contaminante ocurrió en las inmediaciones de Comodoro Rivadavia, Chubut. El incidente provocando cortes de energía y problemas en el suministro de agua. Se ha iniciado una investigación para determinar las causas exactas del incidente.",Desastre Tecnológico - Contaminación,-45.815335,-67.524986,10/04/2019
"Devastador Crisis ambiental por contaminantes afecta a Río Tercero, Córdoba","Un grave crisis ambiental por contaminantes se registró en Río Tercero, Córdoba. El incidente dejando un rastro de destrucción importante. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.",Desastre Tecnológico - Contaminación,-32.130493,-64.077176,26/01/2018
Confirman Emisión de sustancias tóxicas de gran magnitud en Guaymallén,"Un grave emisión de sustancias tóxicas se registró en Guaymallén, Mendoza. El incidente provocando la activación de protocolos de emergencia. Equipos de rescate continúan buscando posibles víctimas.",Desastre Tecnológico - Contaminación,-32.883123,-68.798799,12/10/2012
"Alerta por Intoxicación alimentaria masiva en La Plata, Buenos Aires","Autoridades confirmaron un intoxicación alimentaria masiva en La Plata, Buenos Aires. El incidente interrumpiendo servicios básicos en toda la zona. Los servicios médicos están atendiendo a los afectados en hospitales locales.",Desastre Tecnológico - Intoxicación masiva,-34.886296,-57.930554,16/12/2001
"Alerta por Alerta sanitaria en Rafaela, Santa Fe","Autoridades confirmaron un alerta sanitaria en Rafaela, Santa Fe. El incidente afectando el normal desarrollo de actividades en la zona. Equipos de rescate continúan buscando posibles víctimas.",Desastre Tecnológico - Evento sanitario,-31.281921,-61.448322,15/10/2019
Casos múltiples de intoxicación deja múltiples daños en Viedma,"Grave casos múltiples de intoxicación ocurrió en las inmediaciones de Viedma, Río Negro. El incidente dejando a varios sectores sin comunicación. El intendente local se ha trasladado al lugar para supervisar las operaciones.",Desastre Tecnológico - Intoxicación masiva,-40.859538,-62.966831,11/03/2019
"Trenque Lauquen sufre las consecuencias de Intoxicación por sustancias químicas, Buenos Aires","Autoridades confirmaron un intoxicación por sustancias químicas en Trenque Lauquen, Buenos Aires. El incidente provocando cortes de energía y problemas en el suministro de agua. Autoridades nacionales se han puesto a disposición para brindar asistencia.",Desastre Tecnológico - Intoxicación masiva,-35.937731,-62.701653,25/01/2001
"Autoridades responden a Vertido contaminante en San Fernando del Valle de Catamarca, Catamarca","Grave vertido contaminante ocurrió en las inmediaciones de San Fernando del Valle de Catamarca, Catamarca. El incidente afectando gravemente la infraestructura local. Se ha iniciado una investigación para determinar las causas exactas del incidente.",Desastre Tecnológico - Contaminación,-28.47298,-65.787669,04/04/2009
Fuga de material peligroso sorprende a habitantes de Lules,"Grave fuga de material peligroso ocurrió en las inmediaciones de Lules, Tucumán. El incidente provocando la activación de protocolos de emergencia. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Desastre Tecnológico - Derrame,-26.92889,-65.285646,16/11/2024
Derrame de sustancias tóxicas impacta en Villa Mercedes,"Grave derrame de sustancias tóxicas ocurrió en las inmediaciones de Villa Mercedes, San Luis. El incidente provocando la activación de protocolos de emergencia. Bomberos y personal de seguridad trabajan intensamente en la zona.",Desastre Tecnológico - Derrame,-33.712002,-65.512505,09/01/2013
"Habitantes de San Carlos de Bariloche afrontan Intoxicación colectiva, Río Negro","Un grave intoxicación colectiva se registró en San Carlos de Bariloche, Río Negro. El incidente bloqueando las principales vías de acceso. Se ha iniciado una investigación para determinar las causas exactas del incidente.",Desastre Tecnológico - Intoxicación masiva,-41.086628,-71.280562,02/07/2008
Declaran emergencia tras Polución del aire en Gualeguaychú,"Grave polución del aire ocurrió en las inmediaciones de Gualeguaychú, Entre Ríos. El incidente dejando un rastro de destrucción importante. Equipos de rescate continúan buscando posibles víctimas.",Desastre Tecnológico - Contaminación,-32.994445,-58.493308,24/03/2010
"Impacto de Contaminación ambiental severa en comunidad de San Pedro de Jujuy, Jujuy","Autoridades confirmaron un contaminación ambiental severa en San Pedro de Jujuy, Jujuy. El incidente obligando a evacuar a residentes de la zona. Bomberos y personal de seguridad trabajan intensamente en la zona.",Desastre Tecnológico - Contaminación,-24.253019,-64.91337,22/03/2005
Alerta epidemiológica provoca emergencia en Quitilipi,"Autoridades confirmaron un alerta epidemiológica en Quitilipi, Chaco. El incidente provocando la activación de protocolos de emergencia. Técnicos trabajan para restablecer los servicios básicos lo antes posible.",Desastre Tecnológico - Evento sanitario,-26.820595,-60.235769,21/08/2014
Declaran emergencia tras Intoxicación por sustancias químicas en San Francisco,"Un grave intoxicación por sustancias químicas se registró en San Francisco, Córdoba. El incidente provocando pánico entre los residentes locales. Se ha declarado estado de emergencia en la región para facilitar la asistencia.",Desastre Tecnológico - Intoxicación masiva,-31.404961,-62.106658,18/10/2018
Consecuencias graves tras Casos múltiples de intoxicación en Cafayate,"Un grave casos múltiples de intoxicación se registró en Cafayate, Salta. El incidente generando serios daños ambientales en la región. El gobierno provincial ha enviado ayuda humanitaria a los damnificados.",Desastre Tecnológico - Intoxicación masiva,-26.072768,-65.973198,21/01/2007
Situación crítica por Derrame de sustancias tóxicas en Monteros,"Autoridades confirmaron un derrame de sustancias tóxicas en Monteros, Tucumán. El incidente generando serios daños ambientales en la región. Equipos de rescate continúan buscando posibles víctimas.",Desastre Tecnológico - Derrame,-27.154686,-65.448744,18/08/2012
La Boca en alerta por Polución del aire,"Autoridades confirmaron un polución del aire en La Boca, CABA. El incidente bloqueando las principales vías de acceso. El intendente local se ha trasladado al lugar para supervisar las operaciones.",Desastre Tecnológico - Contaminación,-34.627486,-58.361644,17/06/2015
Intoxicación colectiva genera crisis en Embarcación,"Un grave intoxicación colectiva se registró en Embarcación, Salta. El incidente provocando cortes de energía y problemas en el suministro de agua. Equipos de rescate continúan buscando posibles víctimas.",Desastre Tecnológico - Intoxicación masiva,-23.167288,-64.04772,31/10/2008
Derrame de sustancias tóxicas deja múltiples daños en San Isidro,"Grave derrame de sustancias tóxicas ocurrió en las inmediaciones de San Isidro, Buenos Aires. El incidente bloqueando las principales vías de acceso. Se ha declarado estado de emergencia en la región para facilitar la asistencia.",Desastre Tecnológico - Derrame,-34.50499,-58.531224,24/08/2017
"Polución del aire deja múltiples daños en Balcarce, Buenos Aires","Un grave polución del aire se registró en Balcarce, Buenos Aires. El incidente provocando la activación de protocolos de emergencia. Especialistas evalúan los daños para iniciar las reparaciones necesarias.",Desastre Tecnológico - Contaminación,-37.871577,-58.284343,19/12/2011
Autoridades responden a Emisión de sustancias tóxicas en Alta Gracia,"Autoridades confirmaron un emisión de sustancias tóxicas en Alta Gracia, Córdoba. El incidente afectando gravemente la infraestructura local. Se ha declarado estado de emergencia en la región para facilitar la asistencia.",Desastre Tecnológico - Contaminación,-31.631927,-64.432626,24/10/2021
Se reporta Polución del aire en zona de Mar del Plata,"Un grave polución del aire se registró en Mar del Plata, Buenos Aires. El incidente dejando a varios sectores sin comunicación. Las fuerzas de seguridad mantienen un perímetro para evitar incidentes adicionales.",Desastre Tecnológico - Contaminación,-37.9907,-57.533771,31/01/2009
Derrame de sustancias tóxicas provoca emergencia en Concepción del Uruguay,"Grave derrame de sustancias tóxicas ocurrió en las inmediaciones de Concepción del Uruguay, Entre Ríos. El incidente causando daños en cultivos y producción agrícola. El Ministerio de Desarrollo Social está brindando apoyo a los damnificados.",Desastre Tecnológico - Derrame,-32.499312,-58.221526,02/01/2005
"Consecuencias graves tras Emergencia de salud pública en Buenos Aires, CABA","Grave emergencia de salud pública ocurrió en las inmediaciones de Buenos Aires, CABA. El incidente con un saldo inicial de varias personas heridas. Las fuerzas de seguridad mantienen un perímetro para evitar incidentes adicionales.",Desastre Tecnológico - Evento sanitario,-34.600279,-58.375717,08/11/2014
"Evacuaciones por Polución industrial en Cutral Có, Neuquén","Autoridades confirmaron un polución industrial en Cutral Có, Neuquén. El incidente dejando un rastro de destrucción importante. El municipio ha activado el protocolo de emergencias para esta situación.",Desastre Tecnológico - Contaminación,-38.965113,-69.204342,25/12/2002
Consecuencias graves tras Fuga de material peligroso en Eduardo Castex,"Grave fuga de material peligroso ocurrió en las inmediaciones de Eduardo Castex, La Pampa. El incidente generando serios daños ambientales en la región. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Desastre Tecnológico - Derrame,-35.879678,-64.273969,28/09/2012
"Alerta por Polución industrial en Quitilipi, Chaco","Grave polución industrial ocurrió en las inmediaciones de Quitilipi, Chaco. El incidente dejando a la población incomunicada por varias horas. La población ha sido alertada para tomar precauciones adicionales.",Desastre Tecnológico - Contaminación,-26.838239,-60.236976,18/02/2002
Ushuaia en alerta por Intoxicación por sustancias químicas,"Grave intoxicación por sustancias químicas ocurrió en las inmediaciones de Ushuaia, Tierra del Fuego. El incidente resultando en el cierre temporal de escuelas y comercios. Equipos de rescate continúan buscando posibles víctimas.",Desastre Tecnológico - Intoxicación masiva,-54.761742,-68.328867,18/11/2018
"Serio incidente: Vertido de químicos en Frías, Santiago del Estero","Autoridades confirmaron un vertido de químicos en Frías, Santiago del Estero. El incidente dejando un rastro de destrucción importante. El municipio ha activado el protocolo de emergencias para esta situación.",Desastre Tecnológico - Derrame,-28.659312,-65.15256,10/07/2022
"Preocupación por Intoxicación colectiva en Rafaela, Santa Fe","Autoridades confirmaron un intoxicación colectiva en Rafaela, Santa Fe. El incidente afectando el normal desarrollo de actividades en la zona. El intendente local se ha trasladado al lugar para supervisar las operaciones.",Desastre Tecnológico - Intoxicación masiva,-31.277104,-61.446401,27/02/2007
Habitantes de Alta Gracia afrontan Intoxicación en establecimiento educativo,"Autoridades confirmaron un intoxicación en establecimiento educativo en Alta Gracia, Córdoba. El incidente interrumpiendo servicios básicos en toda la zona. Se ha iniciado una investigación para determinar las causas exactas del incidente.",Desastre Tecnológico - Intoxicación masiva,-31.68543,-64.392404,09/08/2016
Contaminación en río genera crisis en Santa Rosa,"Autoridades confirmaron un contaminación en río en Santa Rosa, La Pampa. El incidente provocando la activación de protocolos de emergencia. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.",Desastre Tecnológico - Contaminación,-36.575105,-64.301558,18/02/2004
Preocupación por Intoxicación alimentaria masiva en Metán,"Un grave intoxicación alimentaria masiva se registró en Metán, Salta. El incidente generando caos en el transporte público y privado. Se ha iniciado una investigación para determinar las causas exactas del incidente.",Desastre Tecnológico - Intoxicación masiva,-25.47568,-64.97832,05/12/2016
"Situación crítica por Polución industrial en Balcarce, Buenos Aires","Autoridades confirmaron un polución industrial en Balcarce, Buenos Aires. El incidente obligando a evacuar a residentes de la zona. Bomberos y personal de seguridad trabajan intensamente en la zona.",Desastre Tecnológico - Contaminación,-37.882546,-58.235225,17/08/2012
Equipos de emergencia atienden Contaminación por derrame en Rawson,"Un grave contaminación por derrame se registró en Rawson, Chubut. El incidente interrumpiendo servicios básicos en toda la zona. Bomberos y personal de seguridad trabajan intensamente en la zona.",Desastre Tecnológico - Derrame,-43.343626,-65.104402,18/08/2020
Cañada de Gómez afectado por Emergencia sanitaria por intoxicación,"Autoridades confirmaron un emergencia sanitaria por intoxicación en Cañada de Gómez, Santa Fe. El incidente resultando en el cierre temporal de escuelas y comercios. El gobierno provincial ha enviado ayuda humanitaria a los damnificados.",Desastre Tecnológico - Intoxicación masiva,-32.805579,-61.399428,11/01/2003
Devastador Vertido contaminante afecta a Puerto Deseado,"Un grave vertido contaminante se registró en Puerto Deseado, Santa Cruz. El incidente destruyendo viviendas y dejando a familias evacuadas. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.",Desastre Tecnológico - Contaminación,-47.789827,-65.901166,10/10/2012
Emergencia por Casos de intoxicación por consumo en Villa Mercedes,"Autoridades confirmaron un casos de intoxicación por consumo en Villa Mercedes, San Luis. El incidente destruyendo viviendas y dejando a familias evacuadas. Se han habilitado refugios temporales para las familias afectadas.",Desastre Tecnológico - Intoxicación masiva,-33.660158,-65.50709,26/06/2009
Villa María sufre las consecuencias de Vertido de químicos,"Autoridades confirmaron un vertido de químicos en Villa María, Córdoba. El incidente provocando cortes de energía y problemas en el suministro de agua. Técnicos trabajan para restablecer los servicios básicos lo antes posible.",Desastre Tecnológico - Derrame,-32.417854,-63.280488,26/08/2007
"Belgrano afectado por Intoxicación colectiva, CABA","Un grave intoxicación colectiva se registró en Belgrano, CABA. El incidente dejando a varios sectores sin comunicación. Se han habilitado refugios temporales para las familias afectadas.",Desastre Tecnológico - Intoxicación masiva,-34.575244,-58.460307,23/02/2023
"Evacuaciones por Emisión de sustancias tóxicas en Buenos Aires, CABA","Un grave emisión de sustancias tóxicas se registró en Buenos Aires, CABA. El incidente dejando a varios sectores sin comunicación. Defensa Civil coordina las tareas de asistencia y reconstrucción.",Desastre Tecnológico - Contaminación,-34.608322,-58.344881,22/08/2024
Emergencia por Crisis ambiental por contaminantes en General Roca,"Grave crisis ambiental por contaminantes ocurrió en las inmediaciones de General Roca, Río Negro. El incidente obligando a evacuar a residentes de la zona. Defensa Civil coordina las tareas de asistencia y reconstrucción.",Desastre Tecnológico - Contaminación,-39.059072,-67.60465,08/07/2011
"Aimogasta sufre las consecuencias de Intoxicación por sustancias químicas, La Rioja","Autoridades confirmaron un intoxicación por sustancias químicas en Aimogasta, La Rioja. El incidente obligando a evacuar a residentes de la zona. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Desastre Tecnológico - Intoxicación masiva,-28.548681,-66.80941,07/12/2023
Confirman Crisis ambiental por contaminantes de gran magnitud en Allen,"Autoridades confirmaron un crisis ambiental por contaminantes en Allen, Río Negro. El incidente generando serios daños ambientales en la región. Especialistas evalúan los daños para iniciar las reparaciones necesarias.",Desastre Tecnológico - Contaminación,-38.921164,-67.785818,18/03/2014
"Vertido de químicos deja múltiples daños en 25 de Mayo, Buenos Aires","Un grave vertido de químicos se registró en 25 de Mayo, Buenos Aires. El incidente generando preocupación entre autoridades provinciales. Se han habilitado refugios temporales para las familias afectadas.",Desastre Tecnológico - Derrame,-35.420112,-60.163868,12/02/2022
Preocupación por Crisis ambiental por contaminantes en Las Breñas,"Autoridades confirmaron un crisis ambiental por contaminantes en Las Breñas, Chaco. El incidente bloqueando las principales vías de acceso. El Ministerio de Desarrollo Social está brindando apoyo a los damnificados.",Desastre Tecnológico - Contaminación,-27.122775,-61.088592,31/08/2008
"Confirman Contaminación ambiental severa de gran magnitud en Libertador General San Martín, Jujuy","Un grave contaminación ambiental severa se registró en Libertador General San Martín, Jujuy. El incidente generando caos en el transporte público y privado. El Ministerio de Desarrollo Social está brindando apoyo a los damnificados.",Desastre Tecnológico - Contaminación,-23.84931,-64.825893,03/09/2015
Emergencia por Derrame de combustible en Belén,"Autoridades confirmaron un derrame de combustible en Belén, Catamarca. El incidente resultando en el cierre temporal de escuelas y comercios. Se ha establecido un centro de operaciones para coordinar las ayudas.",Desastre Tecnológico - Derrame,-27.654012,-67.00993,27/10/2016
"Casos de intoxicación por consumo provoca emergencia en Justo Daract, San Luis","Un grave casos de intoxicación por consumo se registró en Justo Daract, San Luis. El incidente obligando a evacuar a residentes de la zona. Equipos de rescate continúan buscando posibles víctimas.",Desastre Tecnológico - Intoxicación masiva,-33.886745,-65.213945,24/05/2017
Se reporta Casos de intoxicación por consumo en zona de San Vicente,"Un grave casos de intoxicación por consumo se registró en San Vicente, Misiones. El incidente dejando a varios sectores sin comunicación. El intendente local se ha trasladado al lugar para supervisar las operaciones.",Desastre Tecnológico - Intoxicación masiva,-27.022906,-54.497041,22/01/2011
Declaran emergencia tras Envenenamiento masivo en Concordia,"Grave envenenamiento masivo ocurrió en las inmediaciones de Concordia, Entre Ríos. El incidente provocando pánico entre los residentes locales. El municipio ha activado el protocolo de emergencias para esta situación.",Desastre Tecnológico - Intoxicación masiva,-31.382779,-58.014756,17/04/2022
Emergencia por Derrame en curso de agua en Villaguay,"Grave derrame en curso de agua ocurrió en las inmediaciones de Villaguay, Entre Ríos. El incidente provocando pánico entre los residentes locales. La población ha sido alertada para tomar precauciones adicionales.",Desastre Tecnológico - Derrame,-31.902568,-58.99437,18/08/2008
